# time, phase, observation, A, B, F
1.580000000000000016e-01 4.398229715025699704e+00 -7.845452525225328211e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.580624999999999947e-01 4.457134577280520205e+00 -7.362911231952870006e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.581250000000000155e-01 4.516039439535340705e+00 -6.854829622177320836e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.581875000000000087e-01 4.574944301790132783e+00 -6.322970119037599757e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.582500000000000018e-01 4.633849164044953284e+00 -5.769177625944010845e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.583124999999999949e-01 4.692754026299745362e+00 -5.195373127016689185e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.583750000000000158e-01 4.751658888554565863e+00 -4.603547023612891698e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.584375000000000089e-01 4.810563750809386363e+00 -3.995752230065217070e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.585000000000000020e-01 4.869468613064178442e+00 -3.374097052573391542e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.585624999999999951e-01 4.928373475318970520e+00 -2.740737875954045721e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.586250000000000160e-01 4.987278337573819442e+00 -2.097871683617245075e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.586875000000000091e-01 5.046183199828611521e+00 -1.447728436717387046e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.587500000000000022e-01 5.105088062083403599e+00 -7.925633389056518929e-02 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.588124999999999953e-01 5.163992924338224100e+00 -1.346490135276701139e-02 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.588750000000000162e-01 5.222897786593044600e+00 5.237323796057125058e-02 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.589375000000000093e-01 5.281802648847836679e+00 1.180297060528533448e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.590000000000000024e-01 5.340707511102657179e+00 1.832767551050089594e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.590624999999999956e-01 5.399612373357449258e+00 2.478880574822683869e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.591250000000000164e-01 5.458517235612269758e+00 3.116394908151032261e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.591875000000000095e-01 5.517422097867090258e+00 3.743099154301176013e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.592500000000000027e-01 5.576326960121882337e+00 4.356819414349384356e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.593124999999999958e-01 5.635231822376674415e+00 4.955426827959042435e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.593750000000000167e-01 5.694136684631523337e+00 5.536844957927664623e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.594375000000000098e-01 5.753041546886315416e+00 6.099056992888056694e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.595000000000000029e-01 5.811946409141107495e+00 6.640112743185855315e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.595624999999999960e-01 5.870851271395927995e+00 7.158135405655670080e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.596250000000000169e-01 5.929756133650748495e+00 7.651328073837488919e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.596875000000000100e-01 5.988660995905540574e+00 8.117979971049755772e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.597500000000000031e-01 6.047565858160361074e+00 8.556472384697304534e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.598124999999999962e-01 6.106470720415153153e+00 8.965284281227094976e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.598750000000000171e-01 6.165375582669973653e+00 9.342997582260101908e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.599375000000000102e-01 6.224280444924794153e+00 9.688302083591304736e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.600000000000000033e-01 0.000000000000000000e+00 1.000000000000000000e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.600624999999999964e-01 5.890486225479207860e-02 1.027701012010303172e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.601249999999999896e-01 1.178097245096125789e-01 1.051837155683843283e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.601875000000000104e-01 1.767145867644330792e-01 1.072324708057071252e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
